short_code,group_name,short_label,series,table_code,item_code1,item_name1,item_code2,item_name2,cycle,transformation,transform,unit_name,label_kr
IR1,Interest rates,KORIBOR(12개월),817Y002_010152000,817Y002,010152000,KORIBOR(12개월),,,D,Difference,diff,연%,시장금리_KORIBOR(12개월)
IR2,Interest rates,KORIBOR(3개월),817Y002_010150000,817Y002,010150000,KORIBOR(3개월),,,D,Difference,diff,연%,시장금리_KORIBOR(3개월)
IR3,Interest rates,KORIBOR(6개월),817Y002_010151000,817Y002,010151000,KORIBOR(6개월),,,D,Difference,diff,연%,시장금리_KORIBOR(6개월)
IR4,Interest rates,국고채(10년),817Y002_010210000,817Y002,010210000,국고채(10년),,,D,Difference,diff,연%,시장금리_국고채(10년)
IR5,Interest rates,국고채(1년),817Y002_010190000,817Y002,010190000,국고채(1년),,,D,Difference,diff,연%,시장금리_국고채(1년)
IR6,Interest rates,국고채(20년),817Y002_010220000,817Y002,010220000,국고채(20년),,,D,Difference,diff,연%,시장금리_국고채(20년)
IR7,Interest rates,국고채(30년),817Y002_010230000,817Y002,010230000,국고채(30년),,,D,Difference,diff,연%,시장금리_국고채(30년)
IR8,Interest rates,국고채(3년),817Y002_010200000,817Y002,010200000,국고채(3년),,,D,Difference,diff,연%,시장금리_국고채(3년)
IR9,Interest rates,국고채(5년),817Y002_010200001,817Y002,010200001,국고채(5년),,,D,Difference,diff,연%,시장금리_국고채(5년)
IR10,Interest rates,산금채(1년),817Y002_010260000,817Y002,010260000,산금채(1년),,,D,Difference,diff,연%,시장금리_산금채(1년)
IR11,Interest rates,"콜금리(1일, 전체거래)",817Y002_010101000,817Y002,010101000,"콜금리(1일, 전체거래)",,,D,Difference,diff,연%,"시장금리_콜금리(1일, 전체거래)"
IR12,Interest rates,"콜금리(1일, 중개회사거래)",817Y002_010102000,817Y002,010102000,"콜금리(1일, 중개회사거래)",,,D,Difference,diff,연%,"시장금리_콜금리(1일, 중개회사거래)"
IR13,Interest rates,"회사채(3년, AA-)",817Y002_010300000,817Y002,010300000,"회사채(3년, AA-)",,,D,Difference,diff,연%,"시장금리_회사채(3년, AA-)"
IR14,Interest rates,"회사채(3년, AA-, 민평)",817Y002_010310000,817Y002,010310000,"회사채(3년, AA-, 민평)",,,D,Difference,diff,연%,"시장금리_회사채(3년, AA-, 민평)"
RA1,Real activity / investment,Permits/orders: 개인(매도)_거래량,901Y055_S22AB_VO,901Y055,S22AB,개인(매도),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_개인(매도)_거래량
RA2,Real activity / investment,Permits/orders: 기관투자자(매도)_거래량,901Y055_S22AA_VO,901Y055,S22AA,기관투자자(매도),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_기관투자자(매도)_거래량
RA3,Real activity / investment,Permits/orders: 기관투자자(매수)_거래량,901Y055_S22BA_VO,901Y055,S22BA,기관투자자(매수),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_기관투자자(매수)_거래량
RA4,Real activity / investment,Permits/orders: 기타법인(매도)_거래량,901Y055_S22AF_VO,901Y055,S22AF,기타법인(매도),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_기타법인(매도)_거래량
RA5,Real activity / investment,Permits/orders: 기타법인(매수)_거래량,901Y055_S22BF_VO,901Y055,S22BF,기타법인(매수),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_기타법인(매수)_거래량
RA6,Real activity / investment,Permits/orders: 기타법인(순매수)_거래량,901Y055_S22CF_VO,901Y055,S22CF,기타법인(순매수),VO,거래량,M,Log-difference,logdiff,천주,건축허가_기계수주_기타법인(순매수)_거래량
